onset	duration	sync_side	response	correct
0.0	9.985320576932281	left	left	True
14.275011721998453	10.02973594609648	right	right	True
26.977502062916756	9.97545722918585	right	right	True
39.26169074792415	10.037896201945841	left	right	False
51.098533569835126	10.024100331123918	left	right	False
63.23554009804502	10.034141233190894	right	left	False
75.32927493285388	10.02869341801852	right	left	False
86.95151953212917	10.039968354161829	right	left	False
98.88753655320033	10.038549019023776	left	right	False
110.77131735393777	10.043517278973013	left	left	True
122.97641647327691	9.972166529856622	right	left	False
134.6974816690199	9.981614488177001	left	left	True
146.47363380994648	10.021799704059958	left	left	True
158.34129933221266	10.035652558784932	left	right	False
170.6899091359228	10.03278801124543	right	left	False
182.46857975888997	10.028417350258678	left	left	True
194.64970486611128	9.980393141973764	left	right	False
206.42390903411433	9.987270617857575	right	left	False
218.37138897599652	10.018198159057647	left	right	False
230.23793546995148	10.026655429974198	left	left	True
241.90366381127387	9.991547329816967	left	left	True
253.63268834119663	10.018234595656395	left	left	True
269.3762263939716	10.03266257001087	right	right	True
281.15789205627516	9.980112675577402	right	right	True
292.8805767232552	10.02127104671672	left	right	False
304.6971636572853	10.022717167623341	right	left	False
316.57005998212844	10.037416238803416	left	left	True
329.38461282709613	10.02710087178275	left	right	False
341.6697527919896	9.987379343248904	right	right	True
357.4882819922641	10.033481147605926	left	left	True
370.3529765121639	10.03586872573942	right	left	False
382.18845387129113	10.01508065359667	left	right	False
393.89653022494167	9.993806207086891	left	right	False
405.5834293891676	10.031527338083833	left	right	False
421.87499839486554	9.98202453320846	right	left	False
433.8658475722186	10.028163147624582	left	left	True
447.7651635352522	9.98839817661792	right	right	True
460.4818696938455	9.982928090263158	right	left	False
472.6189756281674	10.041227754671127	right	left	False
484.9245142280124	10.033847355283797	left	left	True
497.433712489903	10.032081771176308	right	right	True
509.3646132480353	9.984071196988225	right	right	True
521.0359724829905	10.034499585162848	left	left	True
533.3268170380034	10.032124105840921	right	left	False
545.4691907931119	10.034552536904812	left	right	False
562.8268744009547	10.025732740294188	left	left	True
574.5919291111641	9.978171661030501	left	right	False
586.3584583038464	10.028973331209272	right	left	False
607.207143843174	10.029455044772476	left	left	True
621.3616016139276	10.001014854293317	right	left	False
635.1344639412127	9.993000272661448	right	right	True
651.624339886941	10.034485067240894	left	left	True
663.2986590252258	10.022473623044789	left	right	False
680.0278501939029	9.987293042242527	left	right	False
693.9248618739657	10.021309643052518	left	left	True
705.9017226342112	10.034859034698457	left	right	False
718.6615987122059	9.9799432028085	right	left	False
730.3353293482214	10.03220759704709	right	right	True
743.3022633031942	10.038553528953344	right	left	False
755.0335195260122	9.986998880282044	right	left	False
766.714224357158	10.03131882706657	right	left	False
779.1614776919596	10.030385016929358	left	left	True
791.0418789950199	10.031408636830747	left	right	False
807.946365211159	10.030193530023098	left	left	True
819.9805502281524	9.988670196849853	left	right	False
833.1074857339263	10.037229296285659	right	left	False
845.5056530120783	9.984526955056936	right	right	True
857.2860748618841	10.03582053212449	left	right	False
869.224681542255	10.0367347788997	right	left	False
881.1079247849993	9.978841741103679	left	right	False
893.7511549782939	9.993251596577466	right	left	False
905.9039596598595	9.986982915084809	left	right	False
918.0995404869318	9.980268347077072	right	left	False
930.3424702221528	10.0509530948475	left	left	True
945.7735211090185	10.037068616133183	left	right	False
957.7565309181809	10.0212443289347	left	right	False
969.9797645178623	9.984214493073523	left	right	False
981.9169303481467	10.029592967126518	left	left	True
994.8434920720756	10.031576621811837	left	left	True
1007.3100642091595	10.031554300803691	left	right	False
1023.5820539309643	9.9890141999349	left	left	True
1035.3177215140313	10.036361468955874	right	right	True
1047.7224745969288	10.035347876138985	right	right	True
1059.918664444238	10.028898868709803	right	left	False
1073.5638514771126	10.029644631780684	left	left	True
1086.9373813308775	10.020833593327552	left	left	True
1098.5963810859248	10.025027831085026	left	right	False
1111.1497359708883	9.989079903345555	right	left	False
1123.0388724529184	10.024655261076987	right	right	True
1134.805434415117	9.989358290098608	left	right	False
1148.5211895611137	10.033715837169439	right	right	True
1160.3966352250427	10.013175481930375	left	left	True
1172.6082951151766	10.037288067862391	left	left	True
1185.274036521092	10.028979002032429	left	right	False
1200.4719386780635	10.028202785179019	right	left	False
1212.604049497284	10.037730282638222	left	right	False
1227.7657002322376	10.0307762096636	left	left	True
1239.84575269185	10.032864417415112	right	right	True
1251.8821004102938	10.029314385727048	right	right	True
1264.1816199719906	10.03482440020889	left	right	False
1277.20431156829	10.022341678850353	right	left	False
1290.7816048981622	10.027040669694543	left	left	True
1302.5513116959482	9.981065470259637	left	right	False
1315.5727855558507	9.986893664114177	right	right	True
1327.354769662954	9.975836114957929	right	left	False
1339.0202337950468	10.030442608054727	left	left	True
1351.0000985362567	9.992221255786717	right	left	False
1363.4136258270591	10.034269968047738	right	right	True
1381.9315771050751	9.979609990958124	left	left	True
1393.911985843908	10.02899718331173	right	left	False
1405.8451414438896	9.984445141162723	left	right	False
1417.7719903709367	10.036995577160269	left	left	True
1429.4494268060662	10.038625721819699	right	right	True
1443.6553557901643	10.032323122955859	left	left	True
1456.2087069731206	10.03007759898901	left	right	False
1468.2408826630563	10.031869609840214	left	left	True
1480.0173949832097	9.98782455874607	right	right	True
1492.108689702116	10.030416802037507	left	right	False
1504.2527483738959	9.996624879073352	left	right	False
1516.0958761181682	9.98234559269622	right	right	True
