onset	duration	trial	sync_side	key	dominant
0.0	n/a	start_rivalry	right	n/a	n/a
3.40217562392354	n/a	keypress	right	left	asynchronous
4.623603777959943	1.2214281540364027	keypress	right	right	synchronous
5.633004374336451	1.0094005963765085	keypress	right	left	asynchronous
6.749278081115335	1.116273706778884	keypress	right	right	synchronous
7.814190737903118	1.064912656787783	keypress	right	left	asynchronous
8.768197347875684	0.9540066099725664	keypress	right	right	synchronous
10.624653830192983	1.8564564823172987	keypress	right	left	asynchronous
11.844138063956052	1.219484233763069	keypress	right	right	synchronous
12.323092129081488	0.4789540651254356	keypress	right	left	asynchronous
13.065597075037658	0.7425049459561706	keypress	right	right	synchronous
14.813944268971682	1.7483471939340234	keypress	right	left	asynchronous
15.292726930230856	0.47878266125917435	keypress	right	right	synchronous
20.17951241787523	4.886785487644374	keypress	right	left	asynchronous
20.762537349946797	0.5830249320715666	keypress	right	right	synchronous
21.879751119296998	1.117213769350201	keypress	right	left	asynchronous
22.730173025280237	0.8504219059832394	keypress	right	right	synchronous
24.110912556294352	1.3807395310141146	keypress	right	left	asynchronous
27.028799545019865	2.917886988725513	keypress	right	right	synchronous
30.210283102933317	3.1814835579134524	keypress	right	left	asynchronous
31.69463605200872	1.4843529490754008	keypress	right	right	synchronous
34.45310166012496	2.7584656081162393	keypress	right	left	asynchronous
36.20223603816703	1.749134378042072	keypress	right	right	synchronous
38.485064580105245	2.2828285419382155	keypress	right	left	asynchronous
39.54679182032123	1.061727240215987	keypress	right	right	synchronous
41.08144051488489	1.534648694563657	keypress	right	left	asynchronous
43.785726085305214	2.704285570420325	keypress	right	right	synchronous
46.34169914619997	2.5559730608947575	keypress	right	left	asynchronous
47.98504607193172	1.6433469257317483	keypress	right	right	synchronous
49.47136442922056	1.4863183572888374	keypress	right	left	asynchronous
52.01803603116423	2.5466716019436717	keypress	right	right	synchronous
54.24438523827121	2.2263492071069777	keypress	right	left	asynchronous
55.14665225613862	0.9022670178674161	keypress	right	right	synchronous
56.0491112889722	0.9024590328335762	keypress	right	left	asynchronous
57.00613403599709	0.9570227470248938	keypress	right	right	synchronous
59.45190937910229	2.445775343105197	keypress	right	left	asynchronous
60.673037162050605	1.2211277829483151	keypress	right	right	synchronous
63.744492513127625	3.07145535107702	keypress	right	left	asynchronous
65.06942625017837	1.324933737050742	keypress	right	right	synchronous
66.23751920927316	1.1680929590947926	keypress	right	left	asynchronous
67.77890244405717	1.541383234784007	keypress	right	right	synchronous
69.1067177192308	1.3278152751736343	keypress	right	left	asynchronous
70.64833497302607	1.5416172537952662	keypress	right	right	synchronous
71.92183825699612	1.273503283970058	keypress	right	left	asynchronous
74.1485377792269	2.226699522230774	keypress	right	right	synchronous
76.00681395316496	1.8582761739380658	keypress	right	left	asynchronous
77.86075290106237	1.8539389478974044	keypress	right	right	synchronous
79.45466738706455	1.593914486002177	keypress	right	left	asynchronous
81.25809455104172	1.803427163977176	keypress	right	right	synchronous
83.27610256196931	2.0180080109275877	keypress	right	left	asynchronous
85.72369164787233	2.4475890859030187	keypress	right	right	synchronous
87.31592485122383	1.5922332033514977	keypress	right	left	asynchronous
88.32449203403667	1.0085671828128397	keypress	right	right	synchronous
90.2361339633353	1.9116419292986393	keypress	right	left	asynchronous
92.04066029796377	1.8045263346284628	keypress	right	right	synchronous
95.54404817614704	3.5033878781832755	keypress	right	left	asynchronous
97.23926035687327	1.6952121807262301	keypress	right	right	synchronous
98.14064805116504	0.9013876942917705	keypress	right	left	asynchronous
99.94248638814315	1.8018383369781077	keypress	right	right	synchronous
103.44364545028657	3.501159062143415	keypress	right	left	asynchronous
105.09033072507009	1.646685274783522	keypress	right	right	synchronous
108.80589677533135	3.715566050261259	keypress	right	left	asynchronous
111.14348432421684	2.3375875488854945	keypress	right	right	synchronous
113.26454848609865	2.1210641618818045	keypress	right	left	asynchronous
116.02185201598331	2.757303529884666	keypress	right	right	synchronous
119.7357597630471	3.713907747063786	keypress	right	left	asynchronous
122.65293332003057	2.917173556983471	keypress	right	right	synchronous
125.19841912714764	2.5454858071170747	keypress	right	left	asynchronous
127.90500147594139	2.706582348793745	keypress	right	right	synchronous
130.71638122806326	2.8113797521218657	keypress	right	left	asynchronous
133.31674754898995	2.600366320926696	keypress	right	right	synchronous
137.18674037605524	3.869992827065289	keypress	right	left	asynchronous
138.98919219523668	1.8024518191814423	keypress	right	right	synchronous
142.69874800229445	3.709555807057768	keypress	right	left	asynchronous
144.18583152489737	1.4870835226029158	keypress	right	right	synchronous
145.039973072242	0.854141547344625	keypress	right	left	asynchronous
147.53586262790486	2.4958895556628704	keypress	right	right	synchronous
150.66792198317125	3.1320593552663922	keypress	right	left	asynchronous
154.17406365601346	3.5061416728422046	keypress	right	right	synchronous
156.1880447822623	2.0139811262488365	keypress	right	left	asynchronous
159.95234944298863	3.7643046607263386	keypress	right	right	synchronous
163.29647822631523	3.344128783326596	keypress	right	left	asynchronous
165.6825319370255	2.3860537107102573	keypress	right	right	synchronous
169.8194343089126	4.136902371887118	keypress	right	left	asynchronous
175.01587144192308	5.196437133010477	keypress	right	right	synchronous
177.61893799621612	2.6030665542930365	keypress	right	left	asynchronous
180.48304619733244	2.8641082011163235	keypress	right	right	synchronous
183.3997528362088	2.9167066388763487	keypress	right	left	asynchronous
186.16323764109984	2.76348480489105	keypress	right	right	synchronous
188.8654394322075	2.7022017911076546	keypress	right	left	asynchronous
191.30549547402188	2.440056041814387	keypress	right	right	synchronous
194.63989516999573	3.3343996959738433	keypress	right	left	asynchronous
199.89308663923293	5.253191469237208	keypress	right	right	synchronous
203.07536722300574	3.1822805837728083	keypress	right	left	asynchronous
207.21676617208868	4.141398949082941	keypress	right	right	synchronous
212.5736004160717	5.35683424398303	keypress	right	left	asynchronous
215.4408743781969	2.867273962125182	keypress	right	right	synchronous
218.78671696595848	3.345842587761581	keypress	right	left	asynchronous
221.92150338506326	3.1347864191047847	keypress	right	right	synchronous
226.8598880940117	4.938384708948433	keypress	right	left	asynchronous
229.77776833903044	2.9178802450187504	keypress	right	right	synchronous
234.39051885530353	4.612750516273081	keypress	right	left	asynchronous
240.91425437713042	6.523735521826893	keypress	right	right	synchronous
248.38798475824296	7.473730381112546	keypress	right	left	asynchronous
249.6597689972259	1.2717842389829457	keypress	right	right	synchronous
252.41420089500025	2.7544318977743387	keypress	right	left	asynchronous
254.58717534318566	2.172974448185414	keypress	right	right	synchronous
257.5066596711986	2.9194843280129135	keypress	right	left	asynchronous
260.37287819432095	2.8662185231223702	keypress	right	right	synchronous
265.2442908831872	4.871412688866258	keypress	right	left	asynchronous
269.5452137752436	4.3009228920564055	keypress	right	right	synchronous
272.35611482709646	2.810901051852852	keypress	right	left	asynchronous
276.76190917007625	4.405794342979789	keypress	right	right	synchronous
281.2735176063143	4.511608436238021	keypress	right	left	asynchronous
286.1430848822929	4.869567275978625	keypress	right	right	synchronous
290.7065816982649	4.56349681597203	keypress	right	left	asynchronous
292.8827982628718	2.176216564606875	keypress	right	right	synchronous
297.0199105399661	4.137112277094275	keypress	right	left	asynchronous
301.94978965912014	4.929879119154066	keypress	right	right	synchronous
304.7613248368725	2.8115351777523756	keypress	right	left	asynchronous
310.2339688851498	5.472644048277289	keypress	right	right	synchronous
313.3577490323223	3.1237801471725106	keypress	right	left	asynchronous
315.9559503989294	2.5982013666070998	keypress	right	right	synchronous
318.1833142112009	2.2273638122715056	keypress	right	left	asynchronous
320.7868110272102	2.603496816009283	keypress	right	right	synchronous
324.07824618089944	3.2914351536892354	keypress	right	left	asynchronous
326.94857726292685	2.8703310820274055	keypress	right	right	synchronous
331.5622833832167	4.613706120289862	keypress	right	left	asynchronous
332.83667889097705	1.274395507760346	keypress	right	right	synchronous
339.47035264922306	6.633673758246005	keypress	right	left	asynchronous
347.80239031324163	8.332037664018571	keypress	right	right	synchronous
354.5939128398895	6.791522526647896	keypress	right	left	asynchronous
359.37432874925435	4.7804159093648195	keypress	right	right	synchronous
361.3894984922372	2.0151697429828346	keypress	right	left	asynchronous
366.32619682420045	4.936698331963271	keypress	right	right	synchronous
371.25835286220536	4.932156038004905	keypress	right	left	asynchronous
376.34663594700396	5.088283084798604	keypress	right	right	synchronous
378.51954145217314	2.172905505169183	keypress	right	left	asynchronous
382.92025862587616	4.400717173703015	keypress	right	right	synchronous
385.097170076333	2.176911450456828	keypress	right	left	asynchronous
390.9778556819074	5.880685605574399	keypress	right	right	synchronous
394.00023921811953	3.0223835362121463	keypress	right	left	asynchronous
396.9210551972501	2.920815979130566	keypress	right	right	synchronous
399.1486306479201	2.227575450669974	keypress	right	left	asynchronous
