onset	duration	sync_side	response	correct
0.0	10.02998076705262	right	left	False
15.352952824905515	10.031419220846146	right	left	False
30.673831316642463	10.037006232421845	left	right	False
42.86593772377819	10.029228297062218	left	left	True
58.36315236473456	10.02906834334135	left	left	True
72.73094515362754	10.026474186219275	left	right	False
85.17433516774327	9.990392907056957	left	left	True
97.06357575161383	10.03056974709034	left	left	True
108.93610698264092	9.976966069079936	left	left	True
121.2300041988492	10.020283911842853	left	right	False
133.9752100976184	9.985736040398479	right	left	False
145.91448965668678	10.037397261243314	right	left	False
158.32478398503736	10.024075425695628	right	left	False
170.34800978191197	10.026730223093182	left	left	True
181.96400472382084	10.035596601199359	right	right	True
194.15331225376576	10.0246786121279	left	left	True
207.4635766367428	9.989021406974643	left	right	False
219.29394844686612	10.032938208896667	left	left	True
231.16742535168305	10.029071994125843	right	right	True
242.9424060098827	10.027308429125696	right	left	False
255.18111883476377	10.02708517992869	left	left	True
267.1195060429163	10.038167560007423	left	right	False
279.25927674071863	10.03174459701404	left	left	True
290.9830237189308	10.027347919996828	left	left	True
303.06687919283286	10.03888693312183	left	left	True
315.00671233888716	10.02700338512659	left	right	False
329.9897987586446	10.041516408324242	right	left	False
342.08962582284585	10.041873857844621	left	right	False
354.75530574005097	10.027905982919037	right	right	True
366.52528053801507	10.044408482965082	left	left	True
378.2174896178767	10.029817366972566	right	right	True
390.5076736626215	10.037439168430865	right	left	False
403.11661756178364	10.031366190873086	right	right	True
414.99406510964036	9.983761645387858	left	left	True
426.61884083179757	10.032897736877203	right	left	False
438.5513016488403	10.026357463095337	right	right	True
450.27059995383024	9.985095894895494	right	left	False
461.7423601630144	10.031358847860247	left	right	False
473.4675905178301	9.985670309979469	left	left	True
485.14226938504726	10.034407326951623	right	left	False
497.23470480088145	10.0331717049703	right	right	True
508.91169919399545	9.98790396284312	left	left	True
520.640284602996	9.98253125185147	right	left	False
532.3707983237691	10.038378641940653	left	right	False
544.620282674674	10.024189235176891	right	left	False
556.5464362576604	9.989051855169237	right	left	False
568.696754803881	9.978055629879236	left	right	False
581.5638928818516	10.022920640185475	right	right	True
594.3708183048293	9.994811520911753	right	left	False
606.2152345138602	9.983646742999554	right	left	False
617.94455572078	10.024254638236016	right	right	True
630.2292834399268	9.979954381939024	right	left	False
642.0598218580708	9.98524221079424	left	right	False
653.7867793790065	10.033495076932013	left	left	True
665.5620881658979	9.990801114123315	left	right	False
677.1914528287016	9.981729953084141	right	left	False
688.8180637788028	9.988089588936418	right	right	True
701.0667830798775	10.043992310762405	right	right	True
713.5782736628316	10.035285201855004	left	left	True
725.8204029547051	9.981336878146976	left	right	False
738.0676841880195	10.028842108789831	left	right	False
750.4120498048142	10.044000437948853	right	right	True
762.3033954426646	9.97491135308519	right	left	False
774.1829660506919	10.03660277230665	left	left	True
785.9659490790218	10.022781752981246	right	right	True
798.4078959380277	10.034270877949893	left	right	False
810.3395077758469	9.984419488813728	right	left	False
822.950299821794	9.996692440938205	right	left	False
834.6914039817639	10.031768813263625	right	left	False
847.0919495639391	9.979696839116514	right	right	True
859.1223084428348	10.029195866081864	right	left	False
871.8241333160549	10.03714071167633	right	left	False
883.7620761967264	10.031357436906546	left	right	False
895.7996748746373	10.035288683138788	right	left	False
907.7788040228188	10.026259272824973	right	left	False
919.7065976909362	10.022083769086748	left	right	False
931.5241544260643	10.024543514009565	right	right	True
943.3946213787422	10.0398796829395	right	left	False
955.0744053586386	10.024079054128379	left	left	True
967.051241567824	9.985639465041459	left	right	False
979.0864312178455	10.038325051777065	right	left	False
990.8142966679297	10.02230275189504	left	left	True
1003.2011146419682	10.014733464922756	right	right	True
1015.6271398640238	10.02653529169038	left	left	True
1027.4447326678783	10.023354173172265	left	left	True
1039.4217208437622	10.028384384233505	right	right	True
1051.1915863468312	9.984887932892889	right	left	False
1063.067588975653	10.017715873196721	left	left	True
1074.9252192117274	9.989179022144526	left	right	False
1086.9650612077676	10.021373706869781	right	left	False
1098.8906632829458	9.978015124797821	right	left	False
1110.66631649388	10.021863835863769	right	left	False
1122.4859454706311	9.98171223141253	left	right	False
1134.3656884478405	10.033403941895813	right	right	True
1146.3491647839546	10.03926963871345	left	left	True
1158.7013027439825	10.031878313049674	left	right	False
1171.3663597446866	10.027625074144453	left	left	True
1183.293339341879	9.98418035916984	right	right	True
1195.2928116708063	10.02709398418665	right	left	False
1207.0073903156444	10.034226570278406	left	right	False
1218.733845511917	10.031498855911195	right	left	False
1232.06203716062	9.98667746502906	left	left	True
1245.0900423619896	10.034913032781333	right	left	False
1257.287155859638	10.02912738500163	left	left	True
1269.2677717120387	9.990206251852214	right	right	True
1281.6711004870012	9.98179687699303	right	left	False
1293.8529358636588	10.032552439253777	right	right	True
1306.46329911286	10.035712224896997	right	left	False
1318.7644300167449	9.983307532966137	left	right	False
1331.111723468639	10.029537056107074	left	right	False
1343.0951240896247	9.987792467232794	left	left	True
1355.380582798738	9.969442257191986	right	left	False
1368.2793563948944	10.03657650994137	right	right	True
1380.2669771220535	10.029005663935095	right	right	True
1391.8832588158548	10.028823527973145	left	right	False
1403.5497608729638	10.026452308055013	left	left	True
1415.5241728057154	9.97521839896217	left	right	False
1427.7631040159613	10.030803428031504	left	right	False
1439.3803325449117	10.032013251911849	right	left	False
1452.8196657160297	10.03829718194902	left	right	False
