onset	duration	sync_side	response	correct
0.0	10.029267324134707	right	left	False
12.032594429329038	9.98224542569369	left	left	True
24.734451554715633	10.030955931171775	right	right	True
36.86815220769495	10.028851700015366	right	right	True
49.05526861734688	10.03296298533678	right	left	False
60.780061380937696	9.97779452148825	right	left	False
72.44602183718234	9.986161452718079	left	left	True
84.1790472753346	10.035279834643006	left	left	True
95.85939356870949	9.982689055614173	left	left	True
107.37594594899565	10.03826146852225	right	left	False
119.57042534463108	10.04210298974067	right	left	False
131.71732036024332	9.981986274942756	left	left	True
143.65254846028984	10.033706429414451	left	right	False
155.27771001681685	10.034733726643026	left	left	True
166.94466075859964	10.026447102427483	right	left	False
178.51355244219303	10.036144805140793	right	right	True
190.0851476835087	10.026333914138377	right	left	False
201.74967653490603	9.986067837104201	left	left	True
213.48682743031532	10.038504025898874	left	right	False
225.2683552838862	10.03254411648959	left	left	True
237.25813372898847	10.027683077380061	left	right	False
248.97327684797347	10.026891612447798	right	right	True
260.6444648364559	9.982059774920344	right	right	True
274.600488291122	10.020159926265478	left	left	True
286.2643557358533	9.97792537137866	left	left	True
297.93217695504427	9.988245756365359	right	right	True
309.608382999897	10.03188474662602	left	right	False
321.32908245828	9.980846337042749	left	right	False
333.0549119366333	9.98266779910773	right	right	True
345.40111143514514	9.974034609273076	right	left	False
357.01846186164767	9.992390750907362	right	right	True
368.95974486414343	9.980590101331472	left	right	False
381.04797901026905	10.04168067406863	right	right	True
393.55767935235053	10.03852071147412	left	right	False
405.9108240036294	10.030792761594057	right	left	False
417.6296753389761	9.981350786052644	right	left	False
429.25286123529077	9.990010310895741	right	left	False
441.66367637738585	10.015695940703154	right	left	False
454.2014437299222	9.972590740770102	right	left	False
466.7476532217115	10.031883540563285	left	right	False
479.0953966919333	10.032669751904905	left	left	True
491.34297999646515	10.023684749379754	right	left	False
503.9875594852492	10.02423635404557	left	right	False
516.4304226804525	10.024108355864882	right	left	False
528.8328186068684	10.04891688004136	right	right	True
541.1365973958746	9.970588559284806	right	left	False
552.8991378117353	9.97653782274574	left	right	False
564.7747388062999	10.025757849216461	left	left	True
577.3129423651844	9.988711156882346	right	right	True
589.5202387878671	10.031407625414431	right	right	True
601.2418283903971	10.028012284077704	right	left	False
613.430813100189	9.98847384005785	right	left	False
625.8829005472362	10.026029236614704	right	right	True
638.3807800309733	10.020601936616004	right	left	False
650.7640864942223	9.984707654453814	left	left	True
663.1687495792285	10.035785710439086	right	left	False
675.4115613335744	9.994326166808605	right	right	True
687.10479452461	10.033490226604044	left	left	True
699.0388447083533	10.028850737027824	right	left	False
711.2787979450077	10.017677830532193	right	left	False
722.8841240806505	9.988592561334372	left	right	False
734.7728849984705	10.022164699621499	right	right	True
746.4334380934015	9.983829516917467	left	left	True
758.7756338454783	10.032989894039929	right	right	True
770.7552534462884	10.044812640175223	right	left	False
782.4873843034729	10.032066559419036	right	right	True
794.7800747584552	9.98796564526856	right	right	True
806.5570630673319	10.030244835652411	right	right	True
818.2263697441667	10.01975370850414	right	left	False
829.9402872128412	9.984542554244399	left	left	True
842.3900450924411	10.028712924569845	right	right	True
854.362891565077	10.026207176037133	left	left	True
867.0637898743153	10.029258682392538	right	left	False
879.6133075384423	9.98353543318808	left	left	True
892.6473581064492	10.0334920194	right	right	True
905.2008886635303	10.023502468131483	right	left	False
918.3183512594551	10.045981817878783	right	left	False
931.4980867039412	10.031495166942477	left	left	True
944.8150206599385	10.041380567476153	left	right	False
956.4480402246118	9.987156640738249	right	left	False
968.0771874096245	10.023765297606587	left	right	False
979.7345589250326	9.975998771376908	left	left	True
991.49936560262	9.984120120294392	right	right	True
1003.0823764344677	10.039483277127147	right	right	True
1014.8162948079407	10.029631136916578	right	left	False
1027.2649036236107	10.033281742595136	left	left	True
1039.0439585978165	10.03702759090811	left	left	True
1050.6187955532223	9.992683220654726	left	right	False
1063.342772574164	10.030987734906375	right	left	False
1075.273695490323	10.035090644843876	right	right	True
1087.210826434195	10.03451082482934	left	right	False
1098.8292383104563	9.977484460920095	left	right	False
1110.4945936854929	10.02113297674805	left	left	True
1122.05172273051	10.026441790163517	left	left	True
1134.0437021255493	10.02968308981508	right	left	False
1146.2326445830986	10.031594350002706	left	right	False
1158.0635237302631	9.989237372763455	right	right	True
1169.6379205342382	10.033092041499913	right	left	False
1182.0341626768932	10.02615919150412	right	right	True
1194.37102929689	10.033362834714353	left	right	False
1206.4072933113202	10.031087945215404	left	left	True
1219.2598161315545	9.976970658637583	left	right	False
1231.698518219404	10.03548820503056	left	left	True
1244.147105321288	10.025903048925102	right	left	False
1256.4362384388223	10.03059495985508	left	left	True
1270.236187947914	10.030579706653953	right	left	False
1282.0135979745537	9.973511902615428	left	left	True
1293.9332740483806	9.990973415784538	right	right	True
1305.4623970789835	9.988281857222319	left	right	False
1317.0901670232415	10.036992264911532	left	right	False
1328.8155032731593	9.98224154766649	left	right	False
1340.4869488701224	10.031961691565812	left	right	False
1352.0619553858414	10.035332475788891	right	left	False
1364.6763347135857	10.020308509469032	left	left	True
1376.541551887989	9.989024201408029	left	right	False
1388.694950805977	10.022570215165615	right	right	True
1401.290367060341	10.033709784038365	right	left	False
1413.0163177829236	10.023483080789447	right	left	False
1424.9872790388763	10.033892932347953	right	left	False
1436.599199107848	10.03285467531532	right	left	False
