"onset","duration","trial","sync_side","key","dominant","subject","session"
243.193437074777,"0.4243565727956593","keypress","right","left","asynchronous",1,1
243.936438917648,"0.7430018428713083","keypress","right","right","synchronous",1,1
245.214451124892,"1.2780122072435915","keypress","right","left","asynchronous",1,1
248.556587355677,"3.3421362307853997","keypress","right","right","synchronous",1,1
251.164045982994,"2.6074586273171008","keypress","right","left","asynchronous",1,1
251.539421274792,"0.3753752917982638","keypress","right","right","synchronous",1,1
252.818380896933,"1.2789596221409738","keypress","right","left","asynchronous",1,1
253.031864786986,"0.21348389005288482","keypress","right","right","synchronous",1,1
253.244391029701,"0.21252624271437526","keypress","right","left","asynchronous",1,1
254.626708300784,"1.3823172710835934","keypress","right","right","synchronous",1,1
255.105458113831,"0.47874981304630637","keypress","right","left","asynchronous",1,1
257.335924523883,"2.2304664100520313","keypress","right","right","synchronous",1,1
258.081143928692,"0.7452194048091769","keypress","right","left","asynchronous",1,1
258.455877132714,"0.3747332040220499","keypress","right","right","synchronous",1,1
258.880027087871,"0.42414995515719056","keypress","right","left","asynchronous",1,1
262.07110195281,"3.191074864938855","keypress","right","right","synchronous",1,1
262.335011131596,"0.26390917878597975","keypress","right","left","asynchronous",1,1
262.600900003687,"0.2658888720907271","keypress","right","right","synchronous",1,1
266.471051422879,"3.8701514191925526","keypress","right","left","asynchronous",1,1
268.116525940597,"1.6454745177179575","keypress","right","right","synchronous",1,1
268.383889328688,"0.26736338809132576","keypress","right","left","asynchronous",1,1
269.235933207907,"0.8520438792183995","keypress","right","right","synchronous",1,1
271.519670400769,"2.283737192861736","keypress","right","left","asynchronous",1,1
271.785221824888,"0.2655514241196215","keypress","right","right","synchronous",1,1
272.368825621903,"0.5836037970148027","keypress","right","left","asynchronous",1,1
273.378378545865,"1.0095529239624739","keypress","right","right","synchronous",1,1
273.644488456659,"0.26610991079360247","keypress","right","left","asynchronous",1,1
274.704189428594,"1.0597009719349444","keypress","right","right","synchronous",1,1
274.970091550611,"0.26590212201699615","keypress","right","left","asynchronous",1,1
275.288443614729,"0.31835206411778927","keypress","right","right","synchronous",1,1
277.945278858766,"2.656835244037211","keypress","right","left","asynchronous",1,1
278.266740337946,"0.32146147917956114","keypress","right","right","synchronous",1,1
278.690276345704,"0.42353600775822997","keypress","right","left","asynchronous",1,1
281.138167338911,"2.447890993207693","keypress","right","right","synchronous",1,1
284.435824607965,"3.297657269053161","keypress","right","left","asynchronous",1,1
286.771119434852,"2.335294826887548","keypress","right","right","synchronous",1,1
287.464073647745,"0.6929542128928006","keypress","right","left","asynchronous",1,1
287.676902528852,"0.21282888110727072","keypress","right","right","synchronous",1,1
287.996593515854,"0.3196909870021045","keypress","right","left","asynchronous",1,1
288.208019246813,"0.21142573095858097","keypress","right","right","synchronous",1,1
288.738930933643,"0.5309116868302226","keypress","right","left","asynchronous",1,1
288.952146732714,"0.21321579907089472","keypress","right","right","synchronous",1,1
289.166723762639,"0.21457702992483974","keypress","right","left","asynchronous",1,1
289.379066163674,"0.21234240103513002","keypress","right","right","synchronous",1,1
289.644977429882,"0.265911266207695","keypress","right","left","asynchronous",1,1
289.910175108816,"0.26519767893478274","keypress","right","right","synchronous",1,1
290.123615969904,"0.21344086108729243","keypress","right","left","asynchronous",1,1
291.6085454477,"1.4849294777959585","keypress","right","right","synchronous",1,1
293.046992531978,"1.4384470842778683","keypress","right","left","asynchronous",1,1
293.312987066805,"0.2659945348277688","keypress","right","right","synchronous",1,1
293.578751176596,"0.26576410979032516","keypress","right","left","asynchronous",1,1
296.17945329193,"2.6007021153345704","keypress","right","right","synchronous",1,1
296.391534938943,"0.21208164701238275","keypress","right","left","asynchronous",1,1
296.604367192835,"0.2128322538919747","keypress","right","right","synchronous",1,1
299.898041948676,"3.2936747558414936","keypress","right","left","asynchronous",1,1
300.110220516566,"0.21217856789007783","keypress","right","right","synchronous",1,1
300.430281391833,"0.3200608752667904","keypress","right","left","asynchronous",1,1
301.917194247711,"1.4869128558784723","keypress","right","right","synchronous",1,1
302.078150667716,"0.16095642000436783","keypress","right","left","asynchronous",1,1
302.769295490813,"0.6911448230966926","keypress","right","right","synchronous",1,1
302.928897202946,"0.15960171213373542","keypress","right","left","asynchronous",1,1
303.404507200699,"0.4756099977530539","keypress","right","right","synchronous",1,1
303.564220194705,"0.15971299400553107","keypress","right","left","asynchronous",1,1
303.777018271852,"0.21279807714745402","keypress","right","right","synchronous",1,1
304.414640795905,"0.6376225240528584","keypress","right","left","asynchronous",1,1
304.631346012,"0.2167052160948515","keypress","right","right","synchronous",1,1
304.845775581896,"0.21442956989631057","keypress","right","left","asynchronous",1,1
305.060054081958,"0.2142785000614822","keypress","right","right","synchronous",1,1
305.644305844791,"0.5842517628334463","keypress","right","left","asynchronous",1,1
305.698360527866,"0.054054683074355125","keypress","right","right","synchronous",1,1
305.911994744558,"0.21363421669229865","keypress","right","left","asynchronous",1,1
306.072438539937,"0.16044379537925124","keypress","right","right","synchronous",1,1
307.240601080004,"1.1681625400669873","keypress","right","left","asynchronous",1,1
311.926103883889,"4.685502803884447","keypress","right","right","synchronous",1,1
312.244028345682,"0.3179244617931545","keypress","right","left","asynchronous",1,1
312.985846864991,"0.7418185193091631","keypress","right","right","synchronous",1,1
313.514957960695,"0.5291110957041383","keypress","right","left","asynchronous",1,1
313.99300403567,"0.47804607497528195","keypress","right","right","synchronous",1,1
314.153518457897,"0.1605144222266972","keypress","right","left","asynchronous",1,1
317.503431218676,"3.3499127607792616","keypress","right","right","synchronous",1,1
322.020564117935,"4.517132899258286","keypress","right","left","asynchronous",1,1
325.735538647976,"3.714974530041218","keypress","right","right","synchronous",1,1
326.002369393595,"0.2668307456187904","keypress","right","left","asynchronous",1,1
326.267636642791,"0.2652672491967678","keypress","right","right","synchronous",1,1
329.877900536638,"3.6102638938464224","keypress","right","left","asynchronous",1,1
336.460641680751,"6.582741144113243","keypress","right","right","synchronous",1,1
338.372538311873,"1.9118966311216354","keypress","right","left","asynchronous",1,1
338.533117139712,"0.16057882783934474","keypress","right","right","synchronous",1,1
338.853930786718,"0.320813647005707","keypress","right","left","asynchronous",1,1
339.225551216863,"0.3716204301454127","keypress","right","right","synchronous",1,1
339.437822016887,"0.212270800024271","keypress","right","left","asynchronous",1,1
340.446100541856,"1.0082785249687731","keypress","right","right","synchronous",1,1
347.66439327877,"7.218292736914009","keypress","right","left","asynchronous",1,1
353.555233714636,"5.8908404358662665","keypress","right","right","synchronous",1,1
353.927434669808,"0.37220095517113805","keypress","right","left","asynchronous",1,1
354.352734775748,"0.42530010594055057","keypress","right","right","synchronous",1,1
355.258698989637,"0.9059642138890922","keypress","right","left","asynchronous",1,1
355.470911283977,"0.21221229434013367","keypress","right","right","synchronous",1,1
355.686521830969,"0.21561054699122906","keypress","right","left","asynchronous",1,1
356.216719640885,"0.5301978099159896","keypress","right","right","synchronous",1,1
363.555614369921,"7.338894729036838","keypress","right","left","asynchronous",1,1
363.982023345772,"0.42640897585079074","keypress","right","right","synchronous",1,1
366.789175875019,"2.807152529247105","keypress","right","left","asynchronous",1,1
367.268565247767,"0.47938937274739146","keypress","right","right","synchronous",1,1
367.482847508974,"0.21428226120769978","keypress","right","left","asynchronous",1,1
371.726949996781,"4.244102487806231","keypress","right","right","synchronous",1,1
377.106743673794,"5.379793677013367","keypress","right","left","asynchronous",1,1
377.319629849866,"0.21288617607206106","keypress","right","right","synchronous",1,1
377.532912267838,"0.21328241797164083","keypress","right","left","asynchronous",1,1
378.119327610824,"0.5864153429865837","keypress","right","right","synchronous",1,1
378.439378993586,"0.3200513827614486","keypress","right","left","asynchronous",1,1
380.780784136616,"2.341405143029988","keypress","right","right","synchronous",1,1
385.932297916617,"5.151513780001551","keypress","right","left","asynchronous",1,1
388.687927012797,"2.7556290961802006","keypress","right","right","synchronous",1,1
388.954518371727,"0.2665913589298725","keypress","right","left","asynchronous",1,1
389.165772368666,"0.21125399693846703","keypress","right","right","synchronous",1,1
390.279336705804,"1.1135643371380866","keypress","right","left","asynchronous",1,1
390.493117579725,"0.2137808739207685","keypress","right","right","synchronous",1,1
393.4659029576,"2.9727853778749704","keypress","right","left","asynchronous",1,1
393.679523336701,"0.21362037910148501","keypress","right","right","synchronous",1,1
393.944649199955,"0.2651258632540703","keypress","right","left","asynchronous",1,1
396.757646741811,"2.8129975418560207","keypress","right","right","synchronous",1,1
397.0221625329,"0.26451579108834267","keypress","right","left","asynchronous",1,1
397.234720617998,"0.21255808509886265","keypress","right","right","synchronous",1,1
400.472404056694,"3.237683438695967","keypress","right","left","asynchronous",1,1
402.651396552566,"2.1789924958720803","keypress","right","right","synchronous",1,1
