onset	duration	trial	sync_side	key	dominant
0.0	n/a	start_rivalry	right	n/a	n/a
6.627804997377098	n/a	keypress	right	left	asynchronous
8.856378361117095	2.228573363739997	keypress	right	right	synchronous
12.624991128221154	3.7686127671040595	keypress	right	left	asynchronous
15.43554635019973	2.810555221978575	keypress	right	right	synchronous
16.868932039942592	1.4333856897428632	keypress	right	left	asynchronous
17.825594486203045	0.9566624462604523	keypress	right	right	synchronous
21.012489586137235	3.1868950999341905	keypress	right	left	asynchronous
25.676489253994077	4.663999667856842	keypress	right	right	synchronous
32.31095196912065	6.634462715126574	keypress	right	left	asynchronous
37.5556943109259	5.2447423418052495	keypress	right	right	synchronous
41.74441037233919	4.188716061413288	keypress	right	left	asynchronous
45.675005936063826	3.930595563724637	keypress	right	right	synchronous
47.427416685037315	1.7524107489734888	keypress	right	left	asynchronous
51.722198273055255	4.2947815880179405	keypress	right	right	synchronous
58.286494822241366	6.5642965491861105	keypress	right	left	asynchronous
60.03814892610535	1.7516541038639843	keypress	right	right	synchronous
63.06357868015766	3.025429754052311	keypress	right	left	asynchronous
67.94938359828666	4.885804918128997	keypress	right	right	synchronous
75.21118542226031	7.261801823973656	keypress	right	left	asynchronous
83.01251443708315	7.801329014822841	keypress	right	right	synchronous
91.49716410413384	8.48464966705069	keypress	right	left	asynchronous
93.03979843016714	1.5426343260332942	keypress	right	right	synchronous
93.78389484714717	0.7440964169800282	keypress	right	left	asynchronous
96.64832890592515	2.864434058777988	keypress	right	right	synchronous
101.9500359040685	5.301706998143345	keypress	right	left	asynchronous
106.8302752240561	4.880239319987595	keypress	right	right	synchronous
110.16892487928271	3.338649655226618	keypress	right	left	asynchronous
112.92449647421017	2.75557159492746	keypress	right	right	synchronous
117.857026651036	4.932530176825821	keypress	right	left	asynchronous
124.64563605329022	6.788609402254224	keypress	right	right	synchronous
129.31294103013352	4.6673049768432975	keypress	right	left	asynchronous
134.19259862229228	4.879657592158765	keypress	right	right	synchronous
141.45118889724836	7.258590274956077	keypress	right	left	asynchronous
147.07583934394643	5.62465044669807	keypress	right	right	synchronous
152.11840574909002	5.042566405143589	keypress	right	left	asynchronous
153.77099214913324	1.6525864000432193	keypress	right	right	synchronous
159.23411665624008	5.463124507106841	keypress	right	left	asynchronous
165.0636098869145	5.829493230674416	keypress	right	right	synchronous
170.63195064198226	5.568340755067766	keypress	right	left	asynchronous
173.2359023913741	2.603951749391854	keypress	right	right	synchronous
178.85540315695107	5.619500765576959	keypress	right	left	asynchronous
182.3013127609156	3.4459096039645374	keypress	right	right	synchronous
184.58458290994167	2.283270149026066	keypress	right	left	asynchronous
190.83345343917608	6.248870529234409	keypress	right	right	synchronous
202.07613484421745	11.242681405041367	keypress	right	left	asynchronous
207.97108254628256	5.89494770206511	keypress	right	right	synchronous
213.27596944198012	5.304886895697564	keypress	right	left	asynchronous
220.7078154780902	7.431846036110073	keypress	right	right	synchronous
223.0418842183426	2.3340687402524054	keypress	right	left	asynchronous
224.63099632924423	1.589112110901624	keypress	right	right	synchronous
228.5564516801387	3.925455350894481	keypress	right	left	asynchronous
235.2363668512553	6.6799151711165905	keypress	right	right	synchronous
241.12244888115674	5.886082029901445	keypress	right	left	asynchronous
248.43851172737777	7.31606284622103	keypress	right	right	synchronous
254.27754310099408	5.839031373616308	keypress	right	left	asynchronous
258.62565032113343	4.3481072201393545	keypress	right	right	synchronous
261.4394675451331	2.8138172239996493	keypress	right	left	asynchronous
266.52756801014766	5.088100465014577	keypress	right	right	synchronous
268.96156868711114	2.4340006769634783	keypress	right	left	asynchronous
272.1478646011092	3.1862959139980376	keypress	right	right	synchronous
275.17298873420805	3.0251241330988705	keypress	right	left	asynchronous
279.31129517406225	4.138306439854205	keypress	right	right	synchronous
281.010660787113	1.6993656130507588	keypress	right	left	asynchronous
292.79582219431177	11.785161407198757	keypress	right	right	synchronous
296.6175000760704	3.82167788175866	keypress	right	left	asynchronous
298.8423209269531	2.2248208508826792	keypress	right	right	synchronous
302.7248976090923	3.882576682139188	keypress	right	left	asynchronous
307.9254031232558	5.200505514163524	keypress	right	right	synchronous
311.1059164800681	3.1805133568122983	keypress	right	left	asynchronous
321.44880432030186	10.342887840233743	keypress	right	right	synchronous
325.21824567811564	3.7694413578137755	keypress	right	left	asynchronous
326.91578145930544	1.6975357811897993	keypress	right	right	synchronous
328.8241673479788	1.9083858886733651	keypress	right	left	asynchronous
334.87220795592293	6.048040607944131	keypress	right	right	synchronous
338.106664235238	3.2344562793150544	keypress	right	left	asynchronous
339.22001020796597	1.1133459727279842	keypress	right	right	synchronous
341.2353982483037	2.0153880403377116	keypress	right	left	asynchronous
343.0919104963541	1.8565122480504215	keypress	right	right	synchronous
345.6353403129615	2.543429816607386	keypress	right	left	asynchronous
355.1873923931271	9.552052080165595	keypress	right	right	synchronous
359.6961607132107	4.508768320083618	keypress	right	left	asynchronous
364.7948699099943	5.098709196783602	keypress	right	right	synchronous
370.210870932322	5.416001022327691	keypress	right	left	asynchronous
372.7023444073275	2.4914734750054777	keypress	right	right	synchronous
374.8785915253684	2.1762471180409193	keypress	right	left	asynchronous
384.64551292127	9.76692139590159	keypress	right	right	synchronous
393.23052453715354	8.585011615883559	keypress	right	left	asynchronous
398.3719187169336	5.141394179780036	keypress	right	right	synchronous
402.8761194841936	4.504200767260045	keypress	right	left	asynchronous
406.2724941642955	3.3963746801018715	keypress	right	right	synchronous
409.086756054312	2.814261890016496	keypress	right	left	asynchronous
412.53770842636004	3.45095237204805	keypress	right	right	synchronous
415.45601661736146	2.9183081910014153	keypress	right	left	asynchronous
417.89817778393626	2.442161166574806	keypress	right	right	synchronous
420.0767128909938	2.1785351070575416	keypress	right	left	asynchronous
425.2753020613454	5.1985891703516245	keypress	right	right	synchronous
429.19892733730376	3.9236252759583294	keypress	right	left	asynchronous
432.96340055717155	3.7644732198677957	keypress	right	right	synchronous
437.6326275910251	4.669227033853531	keypress	right	left	asynchronous
443.30261576222256	5.669988171197474	keypress	right	right	synchronous
448.0283987140283	4.725782951805741	keypress	right	left	asynchronous
454.23062782222405	6.202229108195752	keypress	right	right	synchronous
459.3675859463401	5.136958124116063	keypress	right	left	asynchronous
462.12042548228055	2.7528395359404385	keypress	right	right	synchronous
463.3418579371646	1.2214324548840523	keypress	right	left	asynchronous
464.56434541009367	1.2224874729290605	keypress	right	right	synchronous
468.2224819622934	3.6581365521997213	keypress	right	left	asynchronous
472.2458484680392	4.023366505745798	keypress	right	right	synchronous
473.73143513221294	1.485586664173752	keypress	right	left	asynchronous
476.01212570397183	2.280690571758896	keypress	right	right	synchronous
476.75567139312625	0.7435456891544163	keypress	right	left	asynchronous
477.76359498128295	1.0079235881567001	keypress	right	right	synchronous
479.82851104298607	2.0649160617031157	keypress	right	left	asynchronous
482.5864207050763	2.757909662090242	keypress	right	right	synchronous
484.97257075924426	2.386150054167956	keypress	right	left	asynchronous
487.4127434780821	2.4401727188378572	keypress	right	right	synchronous
489.31922163115814	1.9064781530760229	keypress	right	left	asynchronous
491.2285134419799	1.9092918108217418	keypress	right	right	synchronous
494.7775627169758	3.549049274995923	keypress	right	left	asynchronous
495.7368487380445	0.9592860210686922	keypress	right	right	synchronous
497.75313519407064	2.016286456026137	keypress	right	left	asynchronous
500.9379779030569	3.1848427089862525	keypress	right	right	synchronous
505.81799059314653	4.880012690089643	keypress	right	left	asynchronous
509.5868292399682	3.7688386468216777	keypress	right	right	synchronous
514.6296058520675	5.04277661209926	keypress	right	left	asynchronous
518.4416240029968	3.8120181509293616	keypress	right	right	synchronous
522.6852267030627	4.243602700065821	keypress	right	left	asynchronous
531.8578558750451	9.172629171982408	keypress	right	right	synchronous
534.2995810150169	2.4417251399718225	keypress	right	left	asynchronous
541.1372801503167	6.837699135299772	keypress	right	right	synchronous
545.8587254551239	4.7214453048072755	keypress	right	left	asynchronous
552.0169028309174	6.158177375793457	keypress	right	right	synchronous
557.2601973870769	5.243294556159526	keypress	right	left	asynchronous
567.1167714400217	9.85657405294478	keypress	right	right	synchronous
573.8474584459327	6.730687005911022	keypress	right	left	asynchronous
578.8857107292861	5.0382522833533585	keypress	right	right	synchronous
587.044864569325	8.159153840038925	keypress	right	left	asynchronous
588.9518468030728	1.90698223374784	keypress	right	right	synchronous
590.4926850190386	1.5408382159657776	keypress	right	left	asynchronous
592.9337661410682	2.4410811220295727	keypress	right	right	synchronous
596.0174616039731	3.0836954629048705	keypress	right	left	asynchronous
597.875660891179	n/a	keypress	right	right	synchronous
600.0017118691467	n/a	end_rivalry	right	n/a	n/a
