onset	duration	trial	sync_side	key	dominant
0.0	n/a	start_rivalry	left	n/a	n/a
1.1174034401774406	n/a	keypress	left	left	synchronous
3.5072951577603817	2.389891717582941	keypress	left	right	asynchronous
5.20489457808435	1.697599420323968	keypress	left	left	synchronous
6.745829567313194	1.5409349892288446	keypress	left	right	asynchronous
8.296421794220805	1.550592226907611	keypress	left	left	synchronous
12.911610794253647	4.615189000032842	keypress	left	right	asynchronous
16.205459465272725	3.2938486710190773	keypress	left	left	synchronous
17.265851939097047	1.0603924738243222	keypress	left	right	asynchronous
20.451176901347935	3.1853249622508883	keypress	left	left	synchronous
22.941351775079966	2.4901748737320304	keypress	left	right	asynchronous
25.806570860557258	2.8652190854772925	keypress	left	left	synchronous
31.053033118136227	5.246462257578969	keypress	left	right	asynchronous
32.650322363711894	1.5972892455756664	keypress	left	left	synchronous
35.72616804391146	3.0758456801995635	keypress	left	right	asynchronous
39.55394070222974	3.827772658318281	keypress	left	left	synchronous
40.56188918929547	1.0079484870657325	keypress	left	right	asynchronous
41.99754235893488	1.4356531696394086	keypress	left	left	synchronous
45.183555697090924	3.1860133381560445	keypress	left	right	asynchronous
46.45880589913577	1.2752502020448446	keypress	left	left	synchronous
52.59858668409288	6.139780784957111	keypress	left	right	asynchronous
55.99060797691345	3.392021292820573	keypress	left	left	synchronous
63.79711026977748	7.806502292864025	keypress	left	right	asynchronous
66.34530369378626	2.5481934240087867	keypress	left	left	synchronous
67.98961543198675	1.6443117382004857	keypress	left	right	asynchronous
78.33286574203521	10.343250310048461	keypress	left	left	synchronous
83.00211806129664	4.669252319261432	keypress	left	right	asynchronous
89.42229005973786	6.420171998441219	keypress	left	left	synchronous
91.2257826840505	1.8034926243126392	keypress	left	right	asynchronous
92.55030392110348	1.324521237052977	keypress	left	left	synchronous
95.5157223790884	2.9654184579849243	keypress	left	right	asynchronous
97.1046122116968	1.5888898326084018	keypress	left	left	synchronous
98.91025911550969	1.8056469038128853	keypress	left	right	asynchronous
102.14200727362186	3.2317481581121683	keypress	left	left	synchronous
105.3756815129891	3.2336742393672466	keypress	left	right	asynchronous
107.81905318144709	2.443371668457985	keypress	left	left	synchronous
111.21308718807995	3.3940340066328645	keypress	left	right	asynchronous
120.33034096285701	9.117253774777055	keypress	left	left	synchronous
122.76730689872056	2.4369659358635545	keypress	left	right	asynchronous
125.52515717409551	2.757850275374949	keypress	left	left	synchronous
128.70711587183177	3.1819586977362633	keypress	left	right	asynchronous
140.48007118608803	11.77295531425625	keypress	left	left	synchronous
143.13406069856137	2.653989512473345	keypress	left	right	asynchronous
144.24942472483963	1.1153640262782574	keypress	left	left	synchronous
148.1260808967054	3.8766561718657613	keypress	left	right	asynchronous
151.0417106738314	2.9156297771260142	keypress	left	left	synchronous
155.7122944239527	4.6705837501212955	keypress	left	right	asynchronous
159.2169777387753	3.504683314822614	keypress	left	left	synchronous
163.46134038548917	4.244362646713853	keypress	left	right	asynchronous
174.29053246416152	10.82919207867235	keypress	left	left	synchronous
181.1847576443106	6.894225180149078	keypress	left	right	asynchronous
182.77661616913974	1.5918585248291492	keypress	left	left	synchronous
192.07739970088005	9.300783531740308	keypress	left	right	asynchronous
200.51610397733748	8.438704276457429	keypress	left	left	synchronous
202.21361579280347	1.6975118154659867	keypress	left	right	asynchronous
203.9636376267299	1.7500218339264393	keypress	left	left	synchronous
206.6157610071823	2.6521233804523945	keypress	left	right	asynchronous
208.10251444671303	1.4867534395307302	keypress	left	left	synchronous
210.27792561240494	2.175411165691912	keypress	left	right	asynchronous
212.3492012489587	2.0712756365537643	keypress	left	left	synchronous
214.52284967992455	2.173648430965841	keypress	left	right	asynchronous
216.54078120738268	2.0179315274581313	keypress	left	left	synchronous
218.02684772387147	1.4860665164887905	keypress	left	right	asynchronous
219.4072265001014	1.380378776229918	keypress	left	left	synchronous
220.6298661539331	1.2226396538317204	keypress	left	right	asynchronous
223.3334132740274	2.7035471200942993	keypress	left	left	synchronous
229.91789022739977	6.584476953372359	keypress	left	right	asynchronous
231.67262196540833	1.7547317380085588	keypress	left	left	synchronous
233.6920505054295	2.019428540021181	keypress	left	right	asynchronous
237.13866899441928	3.4466184889897704	keypress	left	left	synchronous
239.78810254856944	2.649433554150164	keypress	left	right	asynchronous
248.26144189201295	8.473339343443513	keypress	left	left	synchronous
249.53748854715377	1.2760466551408172	keypress	left	right	asynchronous
250.87221908010542	1.334730532951653	keypress	left	left	synchronous
252.25453263241798	1.382313552312553	keypress	left	right	asynchronous
253.9544394267723	1.6999067943543196	keypress	left	left	synchronous
255.17319288570434	1.2187534589320421	keypress	left	right	asynchronous
257.2401645053178	2.0669716196134686	keypress	left	left	synchronous
259.7350114732981	2.4948469679802656	keypress	left	right	asynchronous
267.5331116784364	7.798100205138326	keypress	left	left	synchronous
270.6140754027292	3.0809637242928147	keypress	left	right	asynchronous
272.09903232287616	1.4849569201469421	keypress	left	left	synchronous
273.2659725351259	1.1669402122497559	keypress	left	right	asynchronous
274.3796174461022	1.1136449109762907	keypress	left	left	synchronous
275.8666552491486	1.4870378030464053	keypress	left	right	asynchronous
277.1939976308495	1.3273423817008734	keypress	left	left	synchronous
282.01918371301144	4.825186082161963	keypress	left	right	asynchronous
283.1328010838479	1.1136173708364367	keypress	left	left	synchronous
287.9048402654007	4.772039181552827	keypress	left	right	asynchronous
289.5533307660371	1.6484905006363988	keypress	left	left	synchronous
293.701033658348	4.147702892310917	keypress	left	right	asynchronous
296.6734233573079	2.972389698959887	keypress	left	left	synchronous
298.2653993675485	1.5919760102406144	keypress	left	right	asynchronous
299.75069151911885	1.4852921515703201	keypress	left	left	synchronous
300.7615823484957	1.0108908293768764	keypress	left	right	asynchronous
301.82149301841855	1.0599106699228287	keypress	left	left	synchronous
302.93539981823415	1.1139067998155951	keypress	left	right	asynchronous
305.53137382119894	2.5959740029647946	keypress	left	left	synchronous
309.516018695198	3.984644873999059	keypress	left	right	asynchronous
310.83660561498255	1.320586919784546	keypress	left	left	synchronous
319.8558066301048	9.019201015122235	keypress	left	right	asynchronous
321.0745615810156	1.2187549509108067	keypress	left	left	synchronous
322.24366874899715	1.169107167981565	keypress	left	right	asynchronous
323.62306421995163	1.3793954709544778	keypress	left	left	synchronous
334.5424316357821	10.919367415830493	keypress	left	right	asynchronous
337.409129739739	2.866698103956878	keypress	left	left	synchronous
343.2439026935026	5.834772953763604	keypress	left	right	asynchronous
344.84260480385274	1.598702110350132	keypress	left	left	synchronous
351.7392007764429	6.8965959725901484	keypress	left	right	asynchronous
358.79466429911554	7.055463522672653	keypress	left	left	synchronous
363.4053406668827	4.610676367767155	keypress	left	right	asynchronous
364.5760845281184	1.1707438612356782	keypress	left	left	synchronous
375.1322732148692	10.55618868675083	keypress	left	right	asynchronous
376.4042138401419	1.2719406252726912	keypress	left	left	synchronous
382.93427642062306	6.530062580481172	keypress	left	right	asynchronous
384.4776015272364	1.543325106613338	keypress	left	left	synchronous
389.14754462987185	4.669943102635443	keypress	left	right	asynchronous
391.9034272143617	2.755882584489882	keypress	left	left	synchronous
401.9291785424575	10.025751328095794	keypress	left	right	asynchronous
403.5213498091325	1.5921712666749954	keypress	left	left	synchronous
415.9361780015752	12.414828192442656	keypress	left	right	asynchronous
417.42312107793987	1.486943076364696	keypress	left	left	synchronous
418.90946312248707	1.4863420445472002	keypress	left	right	asynchronous
420.6577902007848	1.7483270782977343	keypress	left	left	synchronous
423.9012748077512	3.2434846069663763	keypress	left	right	asynchronous
426.66275171469897	2.7614769069477916	keypress	left	left	synchronous
427.8321571769193	1.1694054622203112	keypress	left	right	asynchronous
428.5766653101891	0.7445081332698464	keypress	left	left	synchronous
430.74978423677385	2.1731189265847206	keypress	left	right	asynchronous
432.9760179379955	2.226233701221645	keypress	left	left	synchronous
434.67489769216627	1.6988797541707754	keypress	left	right	asynchronous
435.948820524849	1.2739228326827288	keypress	left	left	synchronous
442.467745129019	6.518924604170024	keypress	left	right	asynchronous
443.2590577052906	0.7913125762715936	keypress	left	left	synchronous
449.20392139442265	5.944863689132035	keypress	left	right	asynchronous
450.5299742585048	1.3260528640821576	keypress	left	left	synchronous
452.54878295585513	2.018808697350323	keypress	left	right	asynchronous
459.3928872095421	6.8441042536869645	keypress	left	left	synchronous
463.63554572314024	4.242658513598144	keypress	left	right	asynchronous
465.0211765905842	1.3856308674439788	keypress	left	left	synchronous
470.4842169787735	5.463040388189256	keypress	left	right	asynchronous
472.02289727889	1.538680300116539	keypress	left	left	synchronous
480.6703931083903	8.647495829500258	keypress	left	right	asynchronous
481.83623724617064	1.1658441377803683	keypress	left	left	synchronous
485.1779461884871	3.3417089423164725	keypress	left	right	asynchronous
485.817095878534	0.6391496900469065	keypress	left	left	synchronous
486.8764696121216	1.059373733587563	keypress	left	right	asynchronous
488.3655016319826	1.4890320198610425	keypress	left	left	synchronous
489.6921025700867	1.326600938104093	keypress	left	right	asynchronous
491.65025956649333	1.9581569964066148	keypress	left	left	synchronous
493.44780757278204	1.7975480062887073	keypress	left	right	asynchronous
496.2048274409026	2.757019868120551	keypress	left	left	synchronous
497.10978727787733	0.90495983697474	keypress	left	right	asynchronous
498.17217692080885	1.062389642931521	keypress	left	left	synchronous
507.3541268594563	9.181949938647449	keypress	left	right	asynchronous
509.159688915126	1.805562055669725	keypress	left	left	synchronous
516.4844301808625	7.32474126573652	keypress	left	right	asynchronous
518.6562289288267	2.1717987479642034	keypress	left	left	synchronous
519.3983435342088	0.7421146053820848	keypress	left	right	asynchronous
520.5102740619332	1.1119305277243257	keypress	left	left	synchronous
521.2518543917686	0.7415803298354149	keypress	left	right	asynchronous
522.6856572339311	1.4338028421625495	keypress	left	left	synchronous
528.4171279147267	5.73147068079561	keypress	left	right	asynchronous
530.3803740870208	1.9632461722940207	keypress	left	left	synchronous
532.9246856225654	2.5443115355446935	keypress	left	right	asynchronous
535.3151590097696	2.3904733872041106	keypress	left	left	synchronous
536.111628415063	0.7964694052934647	keypress	left	right	asynchronous
536.9605984594673	0.8489700444042683	keypress	left	left	synchronous
539.7741543063894	2.8135558469220996	keypress	left	right	asynchronous
541.6868100007996	1.9126556944102049	keypress	left	left	synchronous
548.0519635789096	6.365153578110039	keypress	left	right	asynchronous
548.9025150807574	0.8505515018478036	keypress	left	left	synchronous
550.2266711425036	1.32415606174618	keypress	left	right	asynchronous
552.138154193759	1.9114830512553453	keypress	left	left	synchronous
559.4637627992779	7.325608605518937	keypress	left	right	asynchronous
561.4270237814635	1.9632609821856022	keypress	left	left	synchronous
562.7552357474342	1.328211965970695	keypress	left	right	asynchronous
564.2411504425108	1.4859146950766444	keypress	left	left	synchronous
565.4075489398092	1.1663984972983599	keypress	left	right	asynchronous
568.8518514931202	3.4443025533109903	keypress	left	left	synchronous
575.0583694390953	6.206517945975065	keypress	left	right	asynchronous
575.9059191429988	0.8475497039034963	keypress	left	left	synchronous
577.1774697555229	1.2715506125241518	keypress	left	right	asynchronous
579.0376946851611	1.860224929638207	keypress	left	left	synchronous
580.67899192404	1.6412972388789058	keypress	left	right	asynchronous
581.9518777541816	1.272885830141604	keypress	left	left	synchronous
582.8526040865108	0.9007263323292136	keypress	left	right	asynchronous
584.4946444379166	1.6420403514057398	keypress	left	left	synchronous
