onset	duration	trial	sync_side	key	dominant
0.0	n/a	start_rivalry	left	n/a	n/a
13.575702299829572	n/a	keypress	left	right	asynchronous
14.692157747689635	1.1164554478600621	keypress	left	left	synchronous
15.696699226740748	1.0045414790511131	keypress	left	right	asynchronous
17.128586020786315	1.4318867940455675	keypress	left	left	synchronous
18.0289294347167	0.9003434139303863	keypress	left	right	asynchronous
18.98166760103777	0.952738166321069	keypress	left	left	synchronous
20.736686043906957	1.7550184428691864	keypress	left	right	asynchronous
23.65851608198136	2.921830038074404	keypress	left	left	synchronous
26.308926367666572	2.6504102856852114	keypress	left	right	asynchronous
29.809692956041545	3.5007665883749723	keypress	left	left	synchronous
32.09431327693164	2.284620320890099	keypress	left	right	asynchronous
33.100725138094276	1.0064118611626327	keypress	left	left	synchronous
36.23322845296934	3.1325033148750663	keypress	left	right	asynchronous
38.14291449775919	1.9096860447898507	keypress	left	left	synchronous
39.25897622574121	1.1160617279820144	keypress	left	right	asynchronous
42.49273949069902	3.2337632649578154	keypress	left	left	synchronous
44.670706782955676	2.1779672922566533	keypress	left	right	asynchronous
50.984736213926226	6.31402943097055	keypress	left	left	synchronous
52.41807298082858	1.4333367669023573	keypress	left	right	asynchronous
53.11080437991768	0.692731399089098	keypress	left	left	synchronous
55.65522933611646	2.5444249561987817	keypress	left	right	asynchronous
57.99122519791126	2.3359958617947996	keypress	left	left	synchronous
59.10440240288153	1.1131772049702704	keypress	left	right	asynchronous
60.168673993088305	1.064271590206772	keypress	left	left	synchronous
61.764133168850094	1.595459175761789	keypress	left	right	asynchronous
62.930627445690334	1.1664942768402398	keypress	left	left	synchronous
65.79379869671538	2.863171251025051	keypress	left	right	asynchronous
69.56596695771441	3.772168260999024	keypress	left	left	synchronous
70.57751441001892	1.0115474523045123	keypress	left	right	asynchronous
72.7036269819364	2.1261125719174743	keypress	left	left	synchronous
77.16388769866899	4.460260716732591	keypress	left	right	asynchronous
78.59477854799479	1.430890849325806	keypress	left	left	synchronous
81.08765407186002	2.492875523865223	keypress	left	right	asynchronous
84.26881516491994	3.1811610930599272	keypress	left	left	synchronous
100.44525659177452	16.17644142685458	keypress	left	right	asynchronous
102.19498091982678	1.7497243280522525	keypress	left	left	synchronous
104.6410044268705	2.4460235070437193	keypress	left	right	asynchronous
105.96705278987065	1.3260483630001545	keypress	left	left	synchronous
106.71174135291949	0.7446885630488396	keypress	left	right	asynchronous
108.67274206969887	1.961000716779381	keypress	left	left	synchronous
113.81963235279545	5.146890283096582	keypress	left	right	asynchronous
116.25558754289523	2.435955190099776	keypress	left	left	synchronous
118.4352436279878	2.1796560850925744	keypress	left	right	asynchronous
120.02568837767467	1.590444749686867	keypress	left	left	synchronous
125.06634402181953	5.040655644144863	keypress	left	right	asynchronous
126.39104126673192	1.324697244912386	keypress	left	left	synchronous
128.03814926091582	1.647107994183898	keypress	left	right	asynchronous
130.16405955376104	2.1259102928452194	keypress	left	left	synchronous
137.11423005675897	6.950170502997935	keypress	left	right	asynchronous
140.1882228110917	3.0739927543327212	keypress	left	left	synchronous
141.1957021439448	1.0074793328531086	keypress	left	right	asynchronous
142.99631408089772	1.8006119369529188	keypress	left	left	synchronous
146.07376383710653	3.0774497562088072	keypress	left	right	asynchronous
148.67441888572648	2.600655048619956	keypress	left	left	synchronous
149.83952299878	1.1651041130535305	keypress	left	right	asynchronous
151.85354061005637	2.0140176112763584	keypress	left	left	synchronous
152.9717409927398	1.1182003826834261	keypress	left	right	asynchronous
155.5722905988805	2.600549606140703	keypress	left	left	synchronous
156.63389034289867	1.0615997440181673	keypress	left	right	asynchronous
158.3837277079001	1.74983736500144	keypress	left	left	synchronous
161.40997091075405	3.026243202853948	keypress	left	right	asynchronous
165.81288480293006	4.402913892176002	keypress	left	left	synchronous
167.1447281227447	1.3318433198146522	keypress	left	right	asynchronous
168.1504434477538	1.0057153250090778	keypress	left	left	synchronous
168.73449325887486	0.5840498111210763	keypress	left	right	asynchronous
169.31388991512358	0.5793966562487185	keypress	left	left	synchronous
170.3763058297336	1.0624159146100283	keypress	left	right	asynchronous
171.96315789874643	1.5868520690128207	keypress	left	left	synchronous
173.6613445179537	1.698186619207263	keypress	left	right	asynchronous
174.56283766170964	0.9014931437559426	keypress	left	left	synchronous
175.2523052287288	0.6894675670191646	keypress	left	right	asynchronous
176.47127148509026	1.2189662563614547	keypress	left	left	synchronous
176.84437117399648	0.3730996889062226	keypress	left	right	asynchronous
178.2278982969001	1.3835271229036152	keypress	left	left	synchronous
179.18180206185207	0.9539037649519742	keypress	left	right	asynchronous
180.03051807079464	0.8487160089425743	keypress	left	left	synchronous
180.93174557667226	0.901227505877614	keypress	left	right	asynchronous
181.88733926787972	0.9555936912074685	keypress	left	left	synchronous
184.11535981483757	2.2280205469578505	keypress	left	right	asynchronous
185.3403520109132	1.2249921960756183	keypress	left	left	synchronous
186.13502231100574	0.7946703000925481	keypress	left	right	asynchronous
187.24719446478412	1.1121721537783742	keypress	left	left	synchronous
188.41611233074218	1.1689178659580648	keypress	left	right	asynchronous
189.37017332669348	0.9540609959512949	keypress	left	left	synchronous
190.80418555578217	1.4340122290886939	keypress	left	right	asynchronous
191.81447026971728	1.010284713935107	keypress	left	left	synchronous
192.7165121678263	0.9020418981090188	keypress	left	right	asynchronous
193.88239228492603	1.1658801170997322	keypress	left	left	synchronous
195.0521453670226	1.1697530820965767	keypress	left	right	asynchronous
197.91770924301818	2.8655638759955764	keypress	left	left	synchronous
199.51256965473294	1.5948604117147624	keypress	left	right	asynchronous
201.4748206739314	1.9622510191984475	keypress	left	left	synchronous
203.12600287701935	1.6511822030879557	keypress	left	right	asynchronous
205.46287262393162	2.336869746912271	keypress	left	left	synchronous
206.5243789930828	1.061506369151175	keypress	left	right	asynchronous
208.06067008478567	1.5362910917028785	keypress	left	left	synchronous
208.80091946199536	0.7402493772096932	keypress	left	right	asynchronous
209.81209071585909	1.011171253863722	keypress	left	left	synchronous
215.22349475789815	5.4114040420390666	keypress	left	right	asynchronous
217.6077763917856	2.38428163388744	keypress	left	left	synchronous
220.0992533499375	2.4914769581519067	keypress	left	right	asynchronous
223.18384352466092	3.0845901747234166	keypress	left	left	synchronous
224.24668892798945	1.062845403328538	keypress	left	right	asynchronous
227.59269370371476	3.346004775725305	keypress	left	left	synchronous
228.28182950010523	0.6891357963904738	keypress	left	right	asynchronous
229.71074641495943	1.4289169148541987	keypress	left	left	synchronous
230.66637674579397	0.9556303308345377	keypress	left	right	asynchronous
232.0448354766704	1.3784587308764458	keypress	left	left	synchronous
233.0014788750559	0.956643398385495	keypress	left	right	asynchronous
234.33158919401467	1.3301103189587593	keypress	left	left	synchronous
235.29138078074902	0.9597915867343545	keypress	left	right	asynchronous
236.3512205039151	1.0598397231660783	keypress	left	left	synchronous
238.26488740788773	1.9136669039726257	keypress	left	right	asynchronous
240.11562947789207	1.850742070004344	keypress	left	left	synchronous
241.86713891290128	1.7515094350092113	keypress	left	right	asynchronous
243.30304584279656	1.4359069298952818	keypress	left	left	synchronous
244.841149632819	1.5381037900224328	keypress	left	right	asynchronous
