onset	duration	sync_side	response	correct
0.0	9.99104440677911	right	left	False
15.264209512155503	10.03604895900935	right	left	False
29.26961137680337	10.036502363160253	right	right	True
42.8616172359325	10.024739381857216	left	right	False
56.65345789678395	10.035451729316264	right	left	False
69.93432830506936	10.033144767861813	right	right	True
84.36097017209977	10.036633030045778	right	right	True
98.00435066409409	9.979869426693767	right	left	False
110.81105636712164	10.045622451696545	right	left	False
124.26555153913796	10.045510816853493	left	right	False
138.14089532382786	10.015126665122807	left	right	False
151.56505618896335	10.035947415046394	left	right	False
166.2051704339683	9.979579032864422	right	left	False
180.2644037879072	10.028611694928259	left	right	False
193.4306370569393	10.031282009091228	left	left	True
206.66142395418137	9.985194755718112	left	right	False
220.516082551796	10.034229886252433	right	right	True
234.316246827133	10.031449893955141	right	right	True
251.07289811084047	10.039205918088555	left	right	False
266.1177080771886	9.9812594326213	left	right	False
282.3935759468004	9.998661735095084	right	right	True
295.4855408910662	9.976712829899043	right	left	False
311.556352710817	10.032034849282354	left	right	False
324.6225996450521	9.988278344739228	left	right	False
337.28519047098234	10.032437826972455	right	left	False
350.7828088030219	9.98500051908195	left	left	True
363.7084412788972	9.9681983073242	right	right	True
377.0733883618377	10.02536363620311	right	left	False
390.30611288081855	10.03549146419391	left	left	True
403.8027135380544	10.039331226143986	left	left	True
419.82900861511007	9.98641805909574	right	left	False
437.9244291810319	10.023310234770179	right	left	False
451.2836766461842	10.038676337804645	left	right	False
464.68014187784865	10.030187723226845	right	left	False
478.176467473153	10.041949904058129	right	right	True
491.2622432028875	9.973985224030912	left	right	False
504.9988898988813	10.033184196334332	right	right	True
518.7014512168244	10.042864279355854	right	right	True
532.04340111278	9.98391795810312	left	left	True
544.8530812850222	10.037755109835416	left	right	False
558.4497017101385	9.981423975899816	right	right	True
571.6781044281088	10.040258571039885	right	right	True
584.4464943502098	9.981790768913925	left	right	False
597.719801640138	10.035770968999714	right	right	True
610.7896194988862	10.030801577027887	left	left	True
623.6995114148594	9.989243458025157	left	left	True
636.6673583700322	9.974306081887335	right	left	False
652.1095013171434	9.982224043924361	right	right	True
664.8711715829559	9.9838951760903	right	right	True
677.7406145650893	10.024114428088069	right	right	True
690.7113219080493	9.976699750870466	right	right	True
703.5774050801992	10.035237182863057	left	left	True
716.7613818938844	9.978408657945693	left	left	True
730.7587198480032	10.045771635137498	left	right	False
743.9507890748791	9.975480280350894	left	right	False
756.6576456287876	9.987335958052427	left	left	True
769.1765996208414	10.033819136209786	right	left	False
782.7149300822057	10.032447525765747	left	left	True
795.9479664959945	10.026407065801322	left	left	True
809.0774638038129	10.032794625032693	right	right	True
822.4067321629263	9.987442966084927	right	right	True
835.4740712489001	10.022318068891764	left	right	False
848.4293565098196	10.017104655969888	right	right	True
862.27717804024	10.030889907851815	left	right	False
876.6077039060183	9.98779680300504	left	right	False
889.7316279411316	10.037589375860989	left	left	True
902.5062764808536	9.984961434267461	right	right	True
915.1246521500871	10.02837398275733	left	right	False
929.6034191478975	9.98417767090723	left	right	False
942.727223246824	10.025845831260085	left	right	False
957.3323283488862	10.039740674197674	left	left	True
971.8624844681472	9.998185446020216	right	right	True
985.6794742308557	10.025872186291963	left	left	True
999.4127473258413	9.998880200088024	right	left	False
1012.3974066800438	10.035670472774655	left	right	False
1025.1560795931146	9.98712110798806	right	right	True
1037.615306228865	9.984931454062462	right	right	True
1050.5333846551366	10.042703934945166	right	left	False
1064.2783009260893	9.981937332078815	right	right	True
1077.2934633120894	10.028985877055675	right	right	True
1090.9859628081322	9.99439856596291	left	right	False
1103.648925227113	10.031599957030267	right	left	False
1119.1030810070224	9.981201964896172	left	right	False
1131.9586516181007	10.027335328049958	left	left	True
1144.6572623578832	10.030865602195263	left	left	True
1157.9875109158456	10.024268571287394	left	left	True
1173.9711629310623	10.022794272750616	left	right	False
1188.056189393159	9.977487978059798	right	right	True
1200.871005169116	10.028144971933216	right	right	True
1213.984797238838	10.033710921183228	left	right	False
1230.3829522938468	9.978989858180285	left	left	True
1243.7050851578824	10.032556954305619	right	left	False
1256.4716299078427	9.981866440270096	left	right	False
1269.956075640861	10.015162703115493	right	right	True
1283.6812225729227	10.028817370068282	left	left	True
1296.4960581078194	9.98508818121627	right	left	False
1310.9201427688822	10.029729692265391	left	right	False
1324.6689259749837	10.033755584154278	left	right	False
1337.9434107830748	10.028137601912022	right	left	False
1350.6530349589884	10.030480238143355	left	right	False
1363.1985830110498	10.035233166068792	right	left	False
1376.278787900228	10.027759329881519	left	left	True
1389.2358409878798	9.978538610041142	right	right	True
1402.6731889150105	9.974089721217752	right	right	True
1418.1854001837783	10.044892373029143	left	right	False
1432.8110670922324	9.987230552826077	left	right	False
1448.8819113499485	9.980671444907784	left	left	True
1461.7114851158112	10.032222740352154	left	left	True
1474.5180286588147	10.034642086364329	right	right	True
1488.0525483451784	9.975760664790869	left	right	False
1501.2649585031904	9.990024112630635	right	right	True
1513.7829915760085	10.031568592879921	left	right	False
1527.3204629281536	10.025060277897865	left	right	False
1541.9922461812384	10.033209221903235	right	left	False
1554.9624154008925	9.978984056971967	left	left	True
1567.3735209661536	10.023622158914804	right	left	False
1582.817299110815	10.038915685378015	left	right	False
1596.5178832779638	10.028326900210232	left	right	False
1609.181480878964	10.038818402215838	right	right	True
1623.5136625021696	10.038156884722412	right	right	True
