onset	duration	sync_side	response	correct
0.0	10.034354533068836	left	left	True
14.099935273174196	9.991167177911848	left	left	True
26.668085707817227	10.031372955068946	right	right	True
40.3554284828715	10.032345734070987	left	right	False
53.42999040801078	10.032236525788903	right	left	False
65.78014857973903	10.036816114094108	right	left	False
78.90017923386768	10.025730220135301	right	left	False
93.58162162592635	10.025723467115313	left	right	False
107.3688475000672	10.030980373732746	right	right	True
123.65400998108089	10.044201770797372	left	right	False
145.01197651587427	9.974045216105878	left	left	True
157.80669816676527	9.978175438009202	right	right	True
170.4528620899655	10.03187936777249	left	left	True
183.9888389101252	9.981596352066845	right	right	True
198.5544221289456	10.014052893035114	right	right	True
211.10026354296133	10.03849690919742	left	left	True
223.96255897916853	9.989735702984035	left	left	True
236.8475473090075	10.028200317174196	left	left	True
249.75993919093162	10.033760379068553	left	left	True
262.7277998961508	10.036738059017807	right	right	True
275.63793380279094	10.035886296071112	left	left	True
288.65380903799087	9.988055031746626	right	right	True
306.9579989579506	9.97374142985791	left	right	False
320.5429651020095	10.033925456926227	right	right	True
333.72696211980656	10.015346320345998	left	left	True
346.8846485558897	10.037339021917433	right	right	True
360.0190641847439	10.03177929110825	right	right	True
372.9870282369666	10.029524446930736	right	right	True
386.31133565073833	10.034186109434813	right	right	True
399.33173938980326	10.037452936172485	left	left	True
412.30381847918034	10.039277993608266	left	left	True
426.05650716414675	10.027914009988308	left	left	True
439.7408225988038	9.978379354346544	right	left	False
456.8373598847538	10.032613635063171	left	left	True
469.6929915151559	9.982787666842341	right	left	False
482.9695244799368	10.025577423162758	left	right	False
495.93448843900114	10.037285354919732	left	left	True
508.6937563479878	9.99103660788387	left	left	True
524.4568148790859	10.02472236007452	right	right	True
537.4607648341917	9.993757784832269	right	right	True
550.0297996858135	9.994022241327912	left	left	True
562.4831018238328	9.988096699118614	left	right	False
575.2478002458811	9.987404161132872	right	right	True
588.3838114598766	9.988653987180442	right	left	False
603.5280501861125	10.028332804795355	left	left	True
616.3875786759891	10.028388844802976	left	right	False
629.1894643548876	10.037262165918946	right	left	False
646.1048845481128	10.028243067674339	right	right	True
658.7684446289204	9.997556434944272	right	right	True
671.7532349308021	10.01993630034849	right	left	False
688.4205038971268	9.995618368964642	left	left	True
701.9764026068151	9.980135734193027	left	right	False
715.197660701815	10.026404296047986	right	right	True
727.9612727188505	10.035514871124178	right	right	True
740.6666938741691	9.992200100794435	right	left	False
753.4433116097935	9.989636516198516	left	left	True
766.218338063918	10.025036922190338	right	right	True
779.0237917457707	10.029078067280352	left	right	False
791.9917261637747	10.02503473404795	left	left	True
810.3312625708058	9.979361616075039	left	left	True
823.8227414260618	10.04040292603895	left	left	True
836.5962629718706	10.035864720121026	left	left	True
861.3442494031042	10.028560604900122	right	right	True
874.0907603628002	9.985165608115494	left	left	True
886.9527407041751	9.980047375895083	left	right	False
903.7604648037814	10.02887241402641	left	left	True
916.5756581830792	9.987268670927733	right	left	False
929.7568807858042	9.998683759011328	left	right	False
945.6916765137576	9.980866651050746	right	right	True
960.2755519370548	10.026938426773995	right	left	False
984.4603383480571	9.97926838696003	right	right	True
997.7320410278626	10.0214933892712	left	left	True
1013.2894925111905	9.984897748567164	right	right	True
1025.5842479541898	9.995437346864492	right	left	False
1040.0656359149143	10.034705338068306	left	right	False
1052.574976501055	9.986138167791069	left	left	True
1067.7095933891833	9.981929739937186	left	left	True
1081.403790814802	9.976521579083055	left	right	False
1094.2689726608805	9.981958413962275	left	left	True
1107.5010278271511	10.022754268720746	right	right	True
1120.9813462821767	10.03657535277307	left	left	True
1135.46041237982	10.03985324408859	right	left	False
1153.3667338658124	10.02019127132371	right	left	False
1165.0758201931603	10.031409814022481	left	left	True
1178.192336870823	9.97780739935115	right	right	True
1190.8942558220588	10.031514056026936	right	left	False
1204.5869000800885	9.992035148665309	left	right	False
1217.4620494288392	9.988682587165385	left	left	True
1230.2302494840696	10.02358869370073	right	right	True
1245.3723488338292	10.027433173265308	left	right	False
1260.466713252943	10.029397538863122	left	left	True
1283.0580562548712	9.976375909987837	right	right	True
1295.6559407808818	10.029637894127518	right	left	False
1318.0388135849498	10.027765539940447	left	left	True
1330.0200396771543	9.97448436403647	right	right	True
1346.0757574210875	9.986611229833215	left	left	True
1360.5887301471084	9.984672569669783	right	left	False
1373.7070136917755	9.991410244256258	left	left	True
1389.9510041540489	10.053568670991808	right	left	False
1402.276667457074	10.027432838920504	right	right	True
1414.7173747080378	10.029531728941947	left	left	True
1427.3745933910832	10.02938877698034	right	right	True
1440.954476511106	9.981986339669675	left	left	True
1453.87237357907	10.040937170851976	right	right	True
1466.6960332458839	9.995537581853569	left	right	False
1479.4234679201618	10.02191675780341	right	left	False
1493.8224590839818	10.034676332958043	right	right	True
1509.282333468087	9.987323468085378	right	right	True
1523.28701395588	9.978951291181147	left	left	True
1535.8862283220515	10.044673923868686	right	left	False
1552.5866093588993	9.980322901159525	left	right	False
1565.0957062700763	9.973956432659179	left	right	False
1578.1075902129523	10.034244081005454	left	left	True
1593.7220327700488	10.039909535087645	left	left	True
1606.749358303845	10.02899973327294	left	left	True
1619.8636822490953	9.98358120303601	right	right	True
1636.1388198398054	10.017655503936112	right	left	False
1648.9406447489746	10.021822991780937	left	left	True
1661.7854179050773	10.02357251290232	right	left	False
1676.807938683778	9.983122886158526	right	left	False
